frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,,,0,,0.35,0,0,1,1,0,0,99.485,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
2,2,2,0,raw,,,0,,0.35,0,0,1,1,0,0,98.9648,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
3,3,3,0,raw,,,0,,0.35,0,0,1,1,0,0,98.4962,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
4,4,4,0,raw,,,0,,0.35,0,0,1,1,0,0,98.1405,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
5,5,5,0,raw,,,0,,0.35,0,0,1,1,0,0,97.8603,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
6,6,6,0,raw,,,0,,0.35,0,0,1,1,0,0,97.3296,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
7,7,7,0,raw,,,0,,0.35,0,0,1,1,0,0,96.5684,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
8,8,8,0,raw,,,0,,0.35,0,0,1,1,0,0,95.8901,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
9,9,9,0,raw,,,0,,0.35,0,0,1,1,0,0,95.8943,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
10,10,10,0,raw,,,0,,0.35,0,0,1,1,0,0,95.0307,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
11,11,11,0,raw,,,0,,0.35,0,0,1,1,0,0,94.1817,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
12,12,12,0,raw,,,0,,0.35,0,0,1,1,0,0,93.7855,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
13,13,13,0,raw,,,0,,0.35,0,0,1,1,0,0,93.7238,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
14,14,14,0,raw,,,0,,0.35,0,0,1,1,0,0,93.2198,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
15,15,15,0,raw,,,0,,0.35,0,0,1,1,0,0,92.6215,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
16,16,16,0,raw,,,0,,0.35,0,0,1,1,0,0,91.7546,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
17,17,17,0,raw,,,0,,0.35,0,0,1,1,0,0,91.6751,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
18,18,18,0,raw,,,0,,0.35,0,0,1,1,0,0,90.9368,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
19,19,19,0,raw,0.342576,0.342576,0,0.342576,0.35,0,0,1,1,0,0,90.6133,1,0,1,839.573,562.9255,839.573,562.9255,177.1614,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
20,20,20,0,raw,0.391041,0.391041,0,0.391041,0.35,0,0,1,1,0,0,89.793,1,0,1,839.6472,562.8925,839.6472,562.8925,179.7896,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
21,21,21,0,raw,0.251651,0.251651,0,0.251651,0.35,0,0,1,1,0,0,89.3599,1,0,1,839.4909,563.6603,839.4909,563.6603,173.1171,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
22,22,22,0,raw,,,0,,0.35,0,0,1,1,0,0,88.9289,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
23,23,23,0,raw,,,0,,0.35,0,0,1,1,0,0,88.4275,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
24,24,24,0,raw,,,0,,0.35,0,0,1,1,0,0,88.2008,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
25,25,25,0,raw,,,0,,0.35,0,0,1,1,0,0,87.8959,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
26,26,26,0,raw,,,0,,0.35,0,0,1,1,0,0,86.7958,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
27,27,27,0,raw,,,0,,0.35,0,0,1,1,0,0,86.2691,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
28,28,28,0,raw,,,0,,0.35,0,0,1,1,0,0,85.9779,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
29,29,29,0,raw,0.318545,0.318545,0,0.318545,0.35,0,0,1,1,0,0,85.3248,1,0,1,834.2421,566.3327,834.2421,566.3327,164.1338,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
30,30,30,0,raw,0.308378,0.308378,0,0.308378,0.35,0,0,1,1,0,0,84.997,1,0,1,832.0054,564.2065,832.0054,564.2065,149.6153,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
31,31,31,0,raw,0.370679,0.370679,0,0.370679,0.35,0,0,1,1,0,0,84.195,1,0,1,831.8757,564.2444,831.8757,564.2444,149.7339,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
32,32,32,0,raw,0.389674,0.389674,0,0.389674,0.35,0,0,1,1,0,0,84.024,1,0,1,831.9292,564.2902,831.9292,564.2902,150.6452,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
33,33,33,1,raw,0.287681,0.287681,0,0.287681,0.35,0,0,1,1,0,0,83.567,1,0,1,831.0924,565.9455,831.0924,565.9455,151.7734,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
34,34,34,1,raw,0.299599,0.299599,0,0.299599,0.35,0,0,1,1,0,0,82.4632,1,0,1,831.0738,565.9082,831.0738,565.9082,151.7323,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
35,35,35,1,raw,0.292402,0.292402,0,0.292402,0.35,0,0,1,1,0,0,82.4354,1,0,1,830.4369,561.8477,830.4369,561.8477,142.6294,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
36,36,36,1,raw,0.3277,0.3277,0,0.3277,0.35,0,0,1,1,0,0,82.1818,1,0,1,830.5006,561.9174,830.5006,561.9174,143.0152,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
37,37,37,1,raw,0.339226,0.339226,0,0.339226,0.35,0,0,1,1,0,0,81.4329,1,0,1,830.4963,561.9421,830.4963,561.9421,142.9885,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
