frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,0.43003,0.43003,0,0.325849,0.35,0,0,1,1,0,0,99.5196,2,0,1,1155.1148,740.1855,1155.1148,740.1855,49.362,BOX:3:5:4:6,BOX:3:5:4:6,1,1,1.0,1
2,2,2,0,raw,0.358558,0.358558,0,0.358558,0.35,0,0,1,1,0,0,99.1626,2,0,1,819.732,725.4518,819.732,725.4518,260.9312,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
3,3,3,0,raw,0.558769,0.558769,0,0.558769,0.35,0,0,1,1,0,0,98.3894,1,0,1,819.0847,724.9517,819.0847,724.9517,231.9054,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
4,4,4,0,raw,,,0,,0.35,0,0,1,1,0,0,97.9721,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
5,5,5,0,raw,0.257244,0.257244,0,0.257244,0.35,0,0,1,1,0,0,97.2313,1,0,1,784.2219,706.9246,784.2219,706.9246,259.2169,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
6,6,6,0,raw,0.397635,0.397635,0,0.397635,0.35,0,0,1,1,0,0,97.1312,1,0,1,785.1964,706.3009,785.1964,706.3009,277.0709,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
7,7,7,0,raw,0.424766,0.424766,0,0.424766,0.35,0,0,1,1,0,0,96.9004,1,0,1,785.3672,706.4665,785.3672,706.4665,278.6329,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
8,8,8,0,raw,0.396676,0.396676,0,0.396676,0.35,0,0,1,1,0,0,96.1526,1,0,1,785.2373,705.8841,785.2373,705.8841,265.2157,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
9,9,9,0,raw,0.396044,0.396044,0,0.396044,0.35,0,0,1,1,0,0,95.1996,1,0,1,784.8132,705.6446,784.8132,705.6446,281.9626,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
10,10,10,0,raw,0.478163,0.478163,0,0.278821,0.35,0,0,1,1,0,0,94.7661,3,0,1,785.1712,705.2306,785.1712,705.2306,283.3168,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
11,11,11,0,raw,0.483928,0.483928,0,0.279315,0.35,0,0,1,1,0,0,94.5114,3,0,1,785.1657,705.2188,785.1657,705.2188,283.0024,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
12,12,12,0,raw,0.570334,0.570334,0,0.558446,0.35,0,0,1,1,0,0,94.0387,2,0,1,918.9359,726.0459,918.9359,726.0459,90.7889,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
13,13,13,0,raw,0.554656,0.554656,0,0.554656,0.35,0,0,1,1,0,0,93.6654,2,0,1,918.9077,726.1158,918.9077,726.1158,90.8724,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
14,14,14,0,raw,0.716807,0.716807,0,0.716807,0.35,0,0,1,1,0,0,92.9947,2,0,1,918.9005,726.312,918.9005,726.312,91.4904,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
15,15,15,0,raw,0.523272,0.523272,0,0.511195,0.35,0,0,1,1,0,0,92.7912,2,0,1,919.2193,726.0685,919.2193,726.0685,90.7903,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
16,16,16,0,raw,0.696796,0.696796,0,0.696796,0.35,0,0,1,1,0,0,92.0692,2,0,1,918.7235,726.2628,918.7235,726.2628,91.4914,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
17,17,17,0,raw,0.7031,0.7031,0,0.7031,0.35,0,0,1,1,0,0,91.377,2,0,1,918.0946,727.2947,918.0946,727.2947,91.2314,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
18,18,18,0,raw,0.583452,0.583452,0,0.583452,0.35,0,0,1,1,0,0,91.1074,3,0,1,918.6641,726.6941,918.6641,726.6941,89.9559,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
19,19,19,0,raw,0.441635,0.441635,0,0.441635,0.35,0,0,1,1,0,0,90.714,2,0,1,915.8129,723.3251,915.8129,723.3251,87.2243,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
20,20,20,0,raw,0.561101,0.561101,0,0.561101,0.35,0,0,1,1,0,0,90.2259,2,0,1,918.6564,727.0021,918.6564,727.0021,90.494,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
21,21,21,0,raw,0.564574,0.564574,0,0.564574,0.35,0,0,1,1,0,0,89.7384,2,0,1,918.665,726.9698,918.665,726.9698,90.6143,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
22,22,22,0,raw,0.729494,0.729494,0,0.298364,0.35,0,0,1,1,0,0,88.9374,3,0,1,1181.5156,753.8456,1181.5156,753.8456,51.4249,BOX:3:5:4:6,BOX:3:5:4:6,1,1,1.0,1
23,23,23,0,raw,0.721602,0.721602,0,0.721602,0.35,0,0,1,1,0,0,88.3872,2,0,1,918.8389,727.0667,918.8389,727.0667,91.0588,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
24,24,24,0,raw,0.718236,0.718236,0,0.718236,0.35,0,0,1,1,0,0,87.7296,2,0,1,918.8239,727.0477,918.8239,727.0477,91.0755,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
25,25,25,0,raw,0.654353,0.654353,0,0.654353,0.35,0,0,1,1,0,0,87.6536,1,0,1,918.9929,725.927,918.9929,725.927,90.5879,BOX:3:3:5:5,BOX:3:3:5:5,1,1,0.0,0
