frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,0.342778,0.342778,0,0.342778,0.35,0,0,1,1,0,0,99.4572,1,0,1,1037.6635,434.4986,1037.6635,434.4986,107.8815,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
2,3,2,0,raw,,,0,,0.35,0,0,1,1,0,0,98.4143,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
3,4,3,0,raw,,,0,,0.35,0,0,1,1,0,0,97.7523,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
4,6,4,0,raw,,,0,,0.35,0,0,1,1,0,0,96.6932,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
5,7,5,0,raw,0.412446,0.412446,0,0.412446,0.35,0,0,1,1,0,0,95.9443,1,0,1,1024.909,413.4921,1024.909,413.4921,119.1268,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
6,9,6,0,raw,0.494482,0.494482,0,0.494482,0.35,0,0,1,1,0,0,95.3767,1,0,1,1020.3229,407.1851,1020.3229,407.1851,130.9815,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
7,10,7,0,raw,0.495091,0.495091,0,0.495091,0.35,0,0,1,1,0,0,94.52,1,0,1,1020.2536,407.1884,1020.2536,407.1884,131.2554,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
8,12,8,0,raw,0.329186,0.329186,0,0.329186,0.35,0,0,1,1,0,0,93.7715,1,0,1,1011.8505,412.2052,1011.8505,412.2052,119.9333,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
9,13,9,0,raw,0.359466,0.359466,0,0.359466,0.35,0,0,1,1,0,0,93.0841,1,0,1,1446.7697,246.2294,1446.7697,246.2294,8.4525,BOX:4:7:0:3,BOX:4:7:0:3,1,1,0.4138,0
10,15,10,0,raw,0.333301,0.333301,0,0.333301,0.35,0,0,1,1,0,0,92.2272,1,0,1,1089.3761,418.6428,1089.3761,418.6428,157.9874,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
11,17,11,0,raw,0.391731,0.391731,0,0.391731,0.35,0,0,1,1,0,0,91.4603,1,0,1,1001.8022,406.5936,1001.8022,406.5936,101.855,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
12,18,12,0,raw,0.293117,0.293117,0,0.293117,0.35,0,0,1,1,0,0,90.6346,1,0,1,998.0668,404.6496,998.0668,404.6496,100.7964,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
13,20,13,0,raw,0.285213,0.285213,0,0.285213,0.35,0,0,1,1,0,0,89.9439,1,0,1,1283.7704,256.9419,1283.7704,256.9419,6.3166,BOX:3:7:0:3,BOX:3:7:0:3,1,1,0.5517,1
14,21,14,0,raw,,,0,,0.35,0,0,1,1,0,0,89.2512,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
15,23,15,0,raw,0.31711,0.31711,0,0.283604,0.35,0,0,1,1,0,0,88.5463,2,0,1,985.71,397.7076,985.71,397.7076,91.1753,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
16,24,16,0,raw,0.419173,0.419173,0,0.419173,0.35,0,0,1,1,0,0,87.5403,1,0,1,978.7109,394.6319,978.7109,394.6319,93.466,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
17,26,17,0,raw,0.485805,0.485805,0,0.485805,0.35,0,0,1,1,0,0,86.5771,1,0,1,973.3992,396.2451,973.3992,396.2451,88.4436,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
18,28,18,0,raw,0.48218,0.48218,0,0.48218,0.35,0,0,1,1,0,0,86.2767,1,0,1,967.5876,393.5334,967.5876,393.5334,80.4365,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
19,29,19,0,raw,0.540037,0.540037,0,0.540037,0.35,0,0,1,1,0,0,85.0781,2,0,1,956.2852,392.0357,956.2852,392.0357,77.4982,BOX:3:3:2:2,BOX:3:3:2:2,1,1,0.0,0
20,31,20,0,raw,0.540607,0.540607,0,0.540607,0.35,0,0,1,1,0,0,84.3866,2,0,1,956.3415,391.8224,956.3415,391.8224,77.4812,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
21,32,21,0,raw,0.483629,0.483629,0,0.483629,0.35,0,0,1,1,0,0,83.7465,1,0,1,946.292,389.3497,946.292,389.3497,77.9644,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
