frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,0.832565,0.832565,0,0.832565,0.35,0,0,1,1,0,0,99.1929,1,0,1,487.175,739.169,487.175,739.169,65.9186,BOX:2:2:5:5,BOX:2:2:5:5,1,1,1.0,1
2,2,2,0,raw,0.769972,0.769972,0,0.769972,0.35,0,0,1,1,0,0,98.8095,1,0,1,479.8034,739.5052,479.8034,739.5052,63.0329,BOX:1:1:5:5,BOX:1:1:5:5,1,1,1.0,1
3,3,3,0,raw,0.817666,0.817666,0,0.817666,0.35,0,0,1,1,0,0,98.72,1,0,1,470.6873,740.2507,470.6873,740.2507,62.2134,BOX:1:1:5:5,BOX:1:1:5:5,1,1,1.0,1
4,4,4,0,raw,0.792359,0.792359,0,0.792359,0.35,0,0,1,1,0,0,97.7864,2,0,1,461.2927,739.9725,461.2927,739.9725,59.7238,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
5,5,5,0,raw,0.756004,0.756004,0,0.756004,0.35,0,0,1,1,0,0,97.775,1,0,1,451.0473,740.8943,451.0473,740.8943,58.1418,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
6,6,6,0,raw,0.767604,0.767604,0,0.767604,0.35,0,0,1,1,0,0,97.6371,2,0,1,440.0788,741.3209,440.0788,741.3209,54.9624,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
7,7,7,0,raw,0.762684,0.762684,0,0.762684,0.35,0,0,1,1,0,0,96.6736,3,0,1,427.9177,741.2328,427.9177,741.2328,54.8464,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
8,8,8,0,raw,0.785368,0.785368,0,0.785368,0.35,0,0,1,1,0,0,96.1829,3,0,1,416.4945,741.8424,416.4945,741.8424,52.6763,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
9,9,9,0,raw,0.787292,0.787292,0,0.787292,0.35,0,0,1,1,0,0,95.4342,3,0,1,404.4763,742.3942,404.4763,742.3942,50.6605,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
10,10,10,0,raw,0.795324,0.795324,0,0.795324,0.35,0,0,1,1,0,0,94.8198,4,0,1,389.5039,743.3676,389.5039,743.3676,49.7688,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
