frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,0.35819,0.35819,0,0.35819,0.35,0,0,1,1,0,0,99.1191,2,0,1,940.39,503.7682,940.39,503.7682,163.0267,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
2,2,2,0,raw,0.27083,0.27083,0,0.27083,0.35,0,0,1,1,0,0,98.798,1,0,1,940.7868,503.276,940.7868,503.276,165.7362,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
3,3,3,0,raw,,,0,,0.35,0,0,1,1,0,0,98.5205,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
4,4,4,0,raw,0.25495,0.25495,0,0.25495,0.35,0,0,1,1,0,0,97.8917,1,0,1,950.8431,503.9763,950.8431,503.9763,226.5929,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
5,5,5,0,raw,0.262415,0.262415,0,0.253372,0.35,0,0,1,1,0,0,97.4982,2,0,1,939.6787,503.285,939.6787,503.285,190.6444,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
6,6,6,0,raw,0.257347,0.257347,0,0.257347,0.35,0,0,1,1,0,0,97.0028,1,0,1,951.6567,503.9265,951.6567,503.9265,236.0599,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
7,7,7,0,raw,,,0,,0.35,0,0,1,1,0,0,96.4236,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
8,8,8,0,raw,,,0,,0.35,0,0,1,1,0,0,96.0382,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
9,9,9,0,raw,,,0,,0.35,0,0,1,1,0,0,95.6354,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
10,10,10,0,raw,,,0,,0.35,0,0,1,1,0,0,94.8855,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
11,11,11,0,raw,,,0,,0.35,0,0,1,1,0,0,93.7499,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
12,12,12,0,raw,,,0,,0.35,0,0,1,1,0,0,94.1318,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
13,13,13,0,raw,,,0,,0.35,0,0,1,1,0,0,93.3498,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
14,14,14,0,raw,0.257664,0.257664,0,0.257664,0.35,0,0,1,1,0,0,93.2633,1,0,1,967.2871,504.1947,967.2871,504.1947,328.0573,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
15,15,15,0,raw,,,0,,0.35,0,0,1,1,0,0,92.2328,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
16,16,16,0,raw,,,0,,0.35,0,0,1,1,0,0,92.0475,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
17,17,17,0,raw,,,0,,0.35,0,0,1,1,0,0,91.3715,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
18,18,18,0,raw,,,0,,0.35,0,0,1,1,0,0,91.359,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
19,19,19,0,raw,,,0,,0.35,0,0,1,1,0,0,90.5055,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
20,20,20,0,raw,,,0,,0.35,0,0,1,1,0,0,89.8662,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
21,21,21,0,raw,0.37085,0.37085,0,0.37085,0.35,0,0,1,1,0,0,89.7329,1,0,1,956.6913,484.7349,956.6913,484.7349,127.7104,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
