frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,,,0,,0.35,0,0,1,1,0,0,99.6389,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
2,2,2,0,raw,,,0,,0.35,0,0,1,1,0,0,98.712,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
3,3,3,0,raw,0.425163,0.425163,0,0.425163,0.35,0,0,1,1,0,0,98.7608,1,0,1,1435.2404,716.7321,1435.2404,716.7321,30.0603,BOX:4:6:4:6,BOX:4:6:4:6,1,1,0.125,0
4,4,4,0,raw,0.395734,0.395734,0,0.395734,0.35,0,0,1,1,0,0,97.734,1,0,1,1434.5748,716.8175,1434.5748,716.8175,30.0738,BOX:4:6:4:6,BOX:4:6:4:6,1,1,0.125,0
5,5,5,0,raw,,,0,,0.35,0,0,1,1,0,0,97.5132,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
6,6,6,0,raw,0.348367,0.348367,0,0.348367,0.35,0,0,1,1,0,0,97.5229,1,0,1,1458.1278,714.3911,1458.1278,714.3911,25.0479,BOX:4:7:3:7,BOX:4:7:3:7,1,1,0.2162,0
7,7,7,0,raw,,,0,,0.35,0,0,1,1,0,0,96.3589,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
8,8,8,0,raw,0.27283,0.27283,0,0.27283,0.35,0,0,1,1,0,0,96.1653,1,0,1,1428.4221,726.1963,1428.4221,726.1963,69.8581,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
9,9,9,0,raw,0.277617,0.277617,0,0.277617,0.35,0,0,1,1,0,0,95.4419,1,0,1,1428.4755,726.3035,1428.4755,726.3035,69.9728,BOX:5:5:5:5,BOX:5:5:5:5,1,1,0.0,0
10,10,10,0,raw,,,0,,0.35,0,0,1,1,0,0,94.6464,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
11,11,11,0,raw,,,0,,0.35,0,0,1,1,0,0,94.9312,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
12,12,12,0,raw,,,0,,0.35,0,0,1,1,0,0,93.8824,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
