frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,0.4486,0.4486,0,0.4486,0.35,0,0,1,1,0,0,99.2635,1,0,1,1034.7324,428.7425,1034.7324,428.7425,133.1625,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
2,3,2,0,raw,0.265964,0.265964,0,0.265964,0.35,0,0,1,1,0,0,98.2546,1,0,1,1028.0676,431.9007,1028.0676,431.9007,128.4065,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
3,4,3,0,raw,0.268075,0.268075,0,0.268075,0.35,0,0,1,1,0,0,97.944,1,0,1,1028.0176,431.8962,1028.0176,431.8962,128.2277,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
4,6,4,0,raw,0.305637,0.305637,0,0.305637,0.35,0,0,1,1,0,0,96.9599,1,0,1,1027.7904,422.7281,1027.7904,422.7281,112.9884,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
5,7,5,0,raw,0.592448,0.592448,0,0.592448,0.35,0,0,1,1,0,0,96.1658,1,0,1,1025.4352,406.1146,1025.4352,406.1146,121.8206,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
6,9,6,0,raw,0.494482,0.494482,0,0.494482,0.35,0,0,1,1,0,0,95.2412,1,0,1,1020.3229,407.1851,1020.3229,407.1851,130.9815,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
7,10,7,0,raw,0.495091,0.495091,0,0.495091,0.35,0,0,1,1,0,0,94.7722,1,0,1,1020.2536,407.1884,1020.2536,407.1884,131.2554,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
8,12,8,0,raw,0.346446,0.346446,0,0.329186,0.35,0,0,1,1,0,0,93.8921,2,0,1,1011.8505,412.2052,1011.8505,412.2052,119.9333,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
9,13,9,0,raw,0.739094,0.739094,0,0.739094,0.35,0,0,1,1,0,0,92.8006,2,0,1,1010.259,394.0628,1010.259,394.0628,103.6865,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
10,15,10,0,raw,0.697602,0.697602,0,0.697602,0.35,0,0,1,1,0,0,92.2846,2,0,1,1009.7776,388.6211,1009.7776,388.6211,97.2071,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
11,17,11,0,raw,0.434265,0.434265,0,0.434265,0.35,0,0,1,1,0,0,91.3375,2,0,1,1001.7502,384.1431,1001.7502,384.1431,103.9523,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
12,18,12,0,raw,0.628293,0.628293,0,0.628293,0.35,0,0,1,1,0,0,90.716,2,0,1,999.9421,381.2427,999.9421,381.2427,97.5668,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
13,20,13,0,raw,0.647826,0.647826,0,0.647826,0.35,0,0,1,1,0,0,89.9393,3,0,1,997.886,379.8251,997.886,379.8251,96.3392,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
14,21,14,0,raw,0.440391,0.440391,0,0.440391,0.35,0,0,1,1,0,0,89.0239,2,0,1,991.2834,377.5286,991.2834,377.5286,96.4896,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
15,23,15,0,raw,0.538429,0.538429,0,0.538429,0.35,0,0,1,1,0,0,88.3356,3,0,1,987.7005,376.7355,987.7005,376.7355,95.794,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
16,24,16,0,raw,0.419173,0.419173,0,0.419173,0.35,0,0,1,1,0,0,87.8151,2,0,1,978.7109,394.6319,978.7109,394.6319,93.466,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
17,26,17,0,raw,0.7393,0.7393,0,0.7393,0.35,0,0,1,1,0,0,86.6175,2,0,1,972.2735,369.761,972.2735,369.761,84.2961,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
18,28,18,0,raw,0.568423,0.568423,0,0.568423,0.35,0,0,1,1,0,0,86.2636,2,0,1,964.4931,367.3799,964.4931,367.3799,79.8373,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
19,29,19,0,raw,0.641814,0.641814,0,0.641814,0.35,0,0,1,1,0,0,85.1005,3,0,1,957.602,365.1898,957.602,365.1898,74.6826,BOX:3:3:2:2,BOX:3:3:2:2,1,1,0.0,0
20,31,20,0,raw,0.659639,0.659639,0,0.659639,0.35,0,0,1,1,0,0,84.4793,3,0,1,957.3337,365.1157,957.3337,365.1157,74.6487,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
21,32,21,0,raw,0.716045,0.716045,0,0.716045,0.35,0,0,1,1,0,0,83.9077,1,0,1,944.0783,363.7495,944.0783,363.7495,69.8599,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
22,34,22,0,raw,0.685133,0.685133,0,0.685133,0.35,0,0,1,1,0,0,82.9513,1,0,1,942.2573,361.9496,942.2573,361.9496,69.3067,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
23,35,23,0,raw,0.783396,0.783396,0,0.783396,0.35,0,0,1,1,0,0,82.1548,2,0,1,933.5568,360.2407,933.5568,360.2407,60.5439,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
24,37,24,0,raw,0.793227,0.793227,0,0.793227,0.35,0,0,1,1,0,0,81.1984,1,0,1,923.0604,358.7898,923.0604,358.7898,55.547,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
25,38,25,0,raw,0.512229,0.512229,0,0.512229,0.35,0,0,1,1,0,0,80.5845,1,0,1,915.6961,355.427,915.6961,355.427,56.76,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
26,40,26,0,raw,0.740233,0.740233,0,0.740233,0.35,0,0,1,1,0,0,79.8464,1,0,1,904.1996,353.8994,904.1996,353.8994,52.1678,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
27,42,27,0,raw,0.688346,0.688346,0,0.688346,0.35,0,0,1,1,0,0,78.8874,2,0,1,890.2293,353.3228,890.2293,353.3228,53.6231,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
28,43,28,0,raw,0.644176,0.644176,0,0.644176,0.35,0,0,1,1,0,0,78.0095,2,0,1,877.4889,388.3841,877.4889,388.3841,59.3404,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
29,45,29,0,raw,0.660394,0.660394,0,0.660394,0.35,0,0,1,1,0,0,77.1647,2,0,1,877.5521,388.5585,877.5521,388.5585,59.3028,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
30,46,30,0,raw,0.712235,0.712235,0,0.712235,0.35,0,0,1,1,0,0,76.8366,3,0,1,854.0152,348.7235,854.0152,348.7235,48.4704,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
31,48,31,0,raw,0.664558,0.664558,0,0.664558,0.35,0,0,1,1,0,0,75.9956,3,0,1,833.8526,387.9853,833.8526,387.9853,52.591,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
32,49,32,0,raw,0.655378,0.655378,0,0.439501,0.35,0,0,1,1,0,0,75.3541,3,0,1,838.5218,341.3578,838.5218,341.3578,46.7547,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
