frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,0.832565,0.832565,0,0.832565,0.35,0,0,1,1,0,0,99.6206,5,0,1,487.175,739.169,487.175,739.169,65.9186,BOX:2:2:5:5,BOX:2:2:5:5,1,1,1.0,1
2,2,2,0,raw,0.827496,0.827496,0,0.769972,0.35,0,0,1,1,0,0,98.9414,5,0,1,479.8034,739.5052,479.8034,739.5052,63.0329,BOX:1:1:5:5,BOX:1:1:5:5,1,1,1.0,1
3,3,3,0,raw,0.828762,0.828762,0,0.817666,0.35,0,0,1,1,0,0,98.7944,6,0,1,470.6873,740.2507,470.6873,740.2507,62.2134,BOX:1:1:5:5,BOX:1:1:5:5,1,1,1.0,1
4,4,4,0,raw,0.834072,0.834072,0,0.795506,0.35,0,0,1,1,0,0,97.9257,6,0,1,463.0059,740.152,463.0059,740.152,58.3507,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
5,5,5,0,raw,0.837698,0.837698,0,0.807449,0.35,0,0,1,1,0,0,97.5423,5,0,1,453.4024,740.3377,453.4024,740.3377,57.1232,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
6,6,6,0,raw,0.836318,0.836318,0,0.819851,0.35,0,0,1,1,0,0,96.865,5,0,1,443.5311,741.0378,443.5311,741.0378,53.9082,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
7,7,7,0,raw,0.820472,0.820472,0,0.762684,0.35,0,0,1,1,0,0,96.4672,5,0,1,427.9177,741.2328,427.9177,741.2328,54.8464,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
8,8,8,0,raw,0.825713,0.825713,0,0.785368,0.35,0,0,1,1,0,0,96.1663,5,0,1,416.4945,741.8424,416.4945,741.8424,52.6763,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
9,9,9,0,raw,0.824072,0.824072,0,0.824072,0.35,0,0,1,1,0,0,95.713,4,0,1,407.6087,742.4249,407.6087,742.4249,48.6384,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
10,10,10,0,raw,0.813066,0.813066,0,0.795324,0.35,0,0,1,1,0,0,95.2108,5,0,1,389.5039,743.3676,389.5039,743.3676,49.7688,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
11,11,11,0,raw,0.811481,0.811481,0,0.780225,0.35,0,0,1,1,0,0,94.5561,5,0,1,375.8675,744.6126,375.8675,744.6126,48.0607,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
12,12,12,0,raw,0.808698,0.808698,0,0.783098,0.35,0,0,1,1,0,0,93.8778,5,0,1,363.6501,749.5505,363.6501,749.5505,42.9408,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
13,13,13,0,raw,0.810694,0.810694,0,0.771129,0.35,0,0,1,1,0,0,93.3867,6,0,1,345.2198,745.8604,345.2198,745.8604,42.6231,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
14,14,14,0,raw,0.816143,0.816143,0,0.807621,0.35,0,0,1,1,0,0,92.9329,4,0,1,328.2231,745.7559,328.2231,745.7559,40.0554,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
15,15,15,0,raw,0.82625,0.82625,0,0.810084,0.35,0,0,1,1,0,0,92.5788,4,0,1,312.2926,743.4437,312.2926,743.4437,36.7948,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
16,16,16,0,raw,0.824893,0.824893,0,0.78623,0.35,0,0,1,1,0,0,92.2404,4,0,1,289.4242,742.2291,289.4242,742.2291,35.3557,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
17,17,17,0,raw,0.825338,0.825338,0,0.789103,0.35,0,0,1,1,0,0,91.5618,4,0,1,266.5282,749.0252,266.5282,749.0252,36.4795,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
18,18,18,0,raw,0.827617,0.827617,0,0.792639,0.35,0,0,1,1,0,0,91.0299,4,0,1,250.1126,744.6508,250.1126,744.6508,32.2557,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
19,19,19,0,raw,0.835688,0.835688,0,0.818696,0.35,0,0,1,1,0,0,90.0374,4,0,1,228.4015,756.3588,228.4015,756.3588,28.1562,BOX:0:2:3:7,BOX:0:2:3:7,1,1,1.0,1
20,20,20,0,raw,0.841848,0.841848,0,0.825416,0.35,0,0,1,1,0,0,89.9637,4,0,1,193.3519,752.1376,193.3519,752.1376,27.8125,BOX:0:2:3:7,BOX:0:2:3:7,1,1,1.0,1
21,21,21,0,raw,0.851457,0.851457,0,0.738394,0.35,0,0,1,1,0,0,89.6366,4,0,1,165.8344,756.3255,165.8344,756.3255,28.9244,BOX:0:2:3:7,BOX:0:2:3:7,1,1,1.0,1
22,22,22,0,raw,0.851492,0.851492,0,0.563574,0.35,0,0,1,1,0,0,89.0518,4,0,1,138.9431,760.3374,138.9431,760.3374,28.7888,BOX:0:2:3:7,BOX:0:2:3:7,1,1,1.0,1
23,23,23,0,raw,0.851957,0.851957,0,0.571584,0.35,0,0,1,1,0,0,88.3025,4,0,1,125.7333,760.189,125.7333,760.189,31.8134,BOX:0:1:4:6,BOX:0:1:4:6,1,1,1.0,1
24,24,24,0,raw,0.850765,0.850765,0,0.542722,0.35,0,0,1,1,0,0,87.9585,5,0,1,113.4813,760.3267,113.4813,760.3267,35.2481,BOX:0:1:4:6,BOX:0:1:4:6,1,1,1.0,1
25,25,25,0,raw,0.851661,0.851661,0,0.304182,0.35,0,0,1,1,0,0,87.4411,5,0,1,111.0299,752.8743,111.0299,752.8743,37.845,BOX:0:1:4:6,BOX:0:1:4:6,1,1,1.0,1
26,26,26,0,raw,0.851017,0.851017,0,0.851017,0.35,0,0,1,1,0,0,86.7831,3,0,1,963.4829,749.9203,963.4829,749.9203,91.983,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
27,27,27,0,raw,0.845031,0.845031,0,0.845031,0.35,0,0,1,1,0,0,87.0614,6,0,1,963.5411,749.6561,963.5411,749.6561,91.5323,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
28,28,28,0,raw,0.843463,0.843463,0,0.254117,0.35,0,0,1,1,0,0,85.7105,6,0,1,48.6658,762.4126,48.6658,762.4126,82.1933,BOX:0:0:5:5,BOX:0:0:5:5,1,1,1.0,1
29,29,29,0,raw,0.843011,0.843011,0,0.339156,0.35,0,0,1,1,0,0,85.4997,4,0,1,28.4607,758.3946,28.4607,758.3946,140.5447,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
30,30,30,0,raw,0.840247,0.840247,0,0.840247,0.35,0,0,1,1,0,0,85.3647,3,0,1,963.7907,749.4666,963.7907,749.4666,88.7927,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
31,31,31,0,raw,0.844099,0.844099,0,0.844099,0.35,0,0,1,1,0,0,84.9251,4,0,1,963.6703,749.4567,963.6703,749.4567,88.9517,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
32,32,32,0,raw,0.841703,0.841703,0,0.841703,0.35,0,0,1,1,0,0,83.981,3,0,1,963.3174,749.6171,963.3174,749.6171,89.2749,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
33,33,33,0,raw,0.839877,0.839877,0,0.839877,0.35,0,0,1,1,0,0,82.9494,3,0,1,963.2329,749.6055,963.2329,749.6055,88.7702,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
34,34,34,0,raw,0.840037,0.840037,0,0.840037,0.35,0,0,1,1,0,0,82.5885,3,0,1,963.335,749.4047,963.335,749.4047,88.5606,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
35,35,35,0,raw,0.842263,0.842263,0,0.842263,0.35,0,0,1,1,0,0,82.4634,3,0,1,963.0229,749.7311,963.0229,749.7311,90.3942,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
36,36,36,0,raw,0.842314,0.842314,0,0.842314,0.35,0,0,1,1,0,0,81.9803,3,0,1,962.9301,749.9182,962.9301,749.9182,89.6044,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
37,37,37,0,raw,0.842946,0.842946,0,0.842946,0.35,0,0,1,1,0,0,81.186,4,0,1,962.8814,749.9723,962.8814,749.9723,90.3055,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
38,38,38,0,raw,0.841531,0.841531,0,0.841531,0.35,0,0,1,1,0,0,80.8951,4,0,1,962.395,750.3882,962.395,750.3882,90.0295,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
39,39,39,0,raw,0.840194,0.840194,0,0.840194,0.35,0,0,1,1,0,0,80.4927,5,0,1,962.4689,750.1225,962.4689,750.1225,88.8997,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
40,40,40,0,raw,0.837958,0.837958,0,0.837958,0.35,0,0,1,1,0,0,79.8455,5,0,1,961.7516,750.1529,961.7516,750.1529,89.6631,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
41,41,41,0,raw,0.845933,0.845933,0,0.845933,0.35,0,0,1,1,0,0,79.822,5,0,1,961.3331,750.0908,961.3331,750.0908,90.6854,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
42,42,42,0,raw,0.847169,0.847169,0,0.847169,0.35,0,0,1,1,0,0,78.8321,5,0,1,960.8647,750.0724,960.8647,750.0724,90.9204,BOX:4:4:5:5,BOX:4:4:5:5,1,1,1.0,1
