frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,0.634377,0.634377,0,0.634377,0.35,0,0,1,1,0,0,99.234,4,0,1,941.9884,474.1605,941.9884,474.1605,130.9726,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
2,2,2,0,raw,0.626513,0.626513,0,0.46921,0.35,0,0,1,1,0,0,99.1695,3,0,1,943.2766,474.4466,943.2766,474.4466,129.2929,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
3,3,3,0,raw,0.65782,0.65782,0,0.65782,0.35,0,0,1,1,0,0,98.5013,2,0,1,943.8803,474.5902,943.8803,474.5902,129.5962,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
4,4,4,0,raw,0.774432,0.774432,0,0.774432,0.35,0,0,1,1,0,0,97.8642,4,0,1,945.6094,475.0181,945.6094,475.0181,140.0867,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
5,5,5,0,raw,0.775398,0.775398,0,0.775398,0.35,0,0,1,1,0,0,97.3233,4,0,1,945.6874,475.0123,945.6874,475.0123,140.5286,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
6,6,6,0,raw,0.776081,0.776081,0,0.776081,0.35,0,0,1,1,0,0,96.9467,4,0,1,945.6895,475.007,945.6895,475.007,140.4905,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
7,7,7,0,raw,0.745226,0.745226,0,0.745226,0.35,0,0,1,1,0,0,96.7534,2,0,1,946.7083,474.099,946.7083,474.099,138.6508,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
8,8,8,0,raw,0.658363,0.658363,0,0.658363,0.35,0,0,1,1,0,0,96.1484,2,0,1,946.6281,474.1198,946.6281,474.1198,136.8932,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
9,9,9,0,raw,0.663745,0.663745,0,0.663745,0.35,0,0,1,1,0,0,95.3077,2,0,1,948.2027,474.0252,948.2027,474.0252,135.2501,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
10,10,10,0,raw,,,0,,0.35,0,0,1,1,0,0,94.9863,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
11,11,11,0,raw,,,0,,0.35,0,0,1,1,0,0,94.4971,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
12,12,12,0,raw,,,0,,0.35,0,0,1,1,0,0,93.9846,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
13,13,13,0,raw,0.512269,0.512269,0,0.512269,0.35,0,0,1,1,0,0,93.8244,1,0,1,811.0225,498.3302,811.0225,498.3302,410.2603,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
14,14,14,0,raw,0.506451,0.506451,0,0.257664,0.35,0,0,1,1,0,0,93.1746,2,0,1,967.2871,504.1947,967.2871,504.1947,328.0573,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
15,15,15,0,raw,0.646583,0.646583,0,0.646583,0.35,0,0,1,1,0,0,92.405,2,0,1,951.0617,473.7666,951.0617,473.7666,139.8526,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
16,16,16,0,raw,0.663235,0.663235,0,0.663235,0.35,0,0,1,1,0,0,92.0994,2,0,1,951.2632,474.59,951.2632,474.59,149.2142,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
17,17,17,0,raw,0.74895,0.74895,0,0.74895,0.35,0,0,1,1,0,0,91.6786,2,0,1,951.257,474.9364,951.257,474.9364,149.1775,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
18,18,18,0,raw,,,0,,0.35,0,0,1,1,0,0,91.1133,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
19,19,19,0,raw,,,0,,0.35,0,0,1,1,0,0,90.4836,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
20,20,20,0,raw,,,0,,0.35,0,0,1,1,0,0,90.0613,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
21,21,21,0,raw,0.37085,0.37085,0,0.37085,0.35,0,0,1,1,0,0,89.3298,1,0,1,956.6913,484.7349,956.6913,484.7349,127.7104,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
22,22,22,0,raw,0.327706,0.327706,0,0.327706,0.35,0,0,1,1,0,0,88.9401,1,0,1,955.8557,484.3748,955.8557,484.3748,121.8787,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
23,23,23,0,raw,0.397048,0.397048,0,0.397048,0.35,0,0,1,1,0,0,88.6462,1,0,1,954.6873,476.3847,954.6873,476.3847,135.435,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
24,24,24,0,raw,0.666015,0.666015,0,0.666015,0.35,0,0,1,1,0,0,87.8268,1,0,1,956.6035,479.8077,956.6035,479.8077,132.617,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
25,25,25,1,raw,0.282669,0.282669,0,0.282669,0.35,0,0,1,1,0,0,87.4154,2,0,1,965.1837,493.5713,965.1837,493.5713,136.5783,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
