frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,raw,0.832565,0.832565,0,0.832565,0.35,0,0,1,1,0,0,99.3112,5,0,1,488.8174,738.2195,488.8174,738.2195,64.1127,BOX:2:2:5:5,BOX:2:2:5:5,1,1,1.0,1
2,2,2,0,raw,0.827496,0.827496,0,0.769972,0.35,0,0,1,1,0,0,99.133,5,0,1,481.8227,738.1095,481.8227,738.1095,61.427,BOX:2:2:5:5,BOX:2:2:5:5,1,1,0.0,0
3,3,3,0,raw,0.828762,0.828762,0,0.817666,0.35,0,0,1,1,0,0,98.1628,6,0,1,472.0383,739.2201,472.0383,739.2201,60.4589,BOX:1:1:5:5,BOX:1:1:5:5,1,1,1.0,1
4,4,4,0,raw,0.834072,0.834072,0,0.795506,0.35,0,0,1,1,0,0,98.2989,6,0,1,462.151,740.0624,462.151,740.0624,59.0279,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
5,5,5,0,raw,0.837698,0.837698,0,0.807449,0.35,0,0,1,1,0,0,97.5216,5,0,1,452.2636,740.6068,452.2636,740.6068,57.6112,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
6,6,6,0,raw,0.836318,0.836318,0,0.819851,0.35,0,0,1,1,0,0,97.1695,6,0,1,441.8617,741.1747,441.8617,741.1747,54.4129,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
7,7,7,0,raw,0.820472,0.820472,0,0.762684,0.35,0,0,1,1,0,0,96.4544,6,0,1,430.1161,741.1508,430.1161,741.1508,53.8647,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
8,8,8,0,raw,0.825713,0.825713,0,0.785368,0.35,0,0,1,1,0,0,96.0176,5,0,1,418.5663,741.2073,418.5663,741.2073,50.8885,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
9,9,9,0,raw,0.824072,0.824072,0,0.824072,0.35,0,0,1,1,0,0,95.4232,5,0,1,406.0783,742.4099,406.0783,742.4099,49.6058,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
10,10,10,0,raw,0.813066,0.813066,0,0.795324,0.35,0,0,1,1,0,0,95.0612,6,0,1,391.4942,746.4402,391.4942,746.4402,48.7078,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
11,11,11,0,raw,0.811481,0.811481,0,0.780225,0.35,0,0,1,1,0,0,94.488,6,0,1,377.1486,744.4262,377.1486,744.4262,46.884,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
12,12,12,0,raw,0.808698,0.808698,0,0.783098,0.35,0,0,1,1,0,0,93.9711,7,0,1,362.5343,747.3025,362.5343,747.3025,44.1755,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
13,13,13,0,raw,0.810694,0.810694,0,0.771129,0.35,0,0,1,1,0,0,93.3997,7,0,1,344.5321,745.7693,344.5321,745.7693,42.0098,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
14,14,14,0,raw,0.816143,0.816143,0,0.807621,0.35,0,0,1,1,0,0,93.1722,5,0,1,327.8488,745.9741,327.8488,745.9741,41.0446,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
15,15,15,0,raw,0.82625,0.82625,0,0.810084,0.35,0,0,1,1,0,0,92.3186,5,0,1,311.2395,744.8412,311.2395,744.8412,38.1406,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
16,16,16,0,raw,0.824893,0.824893,0,0.78623,0.35,0,0,1,1,0,0,91.9466,5,0,1,288.5046,745.1028,288.5046,745.1028,36.5981,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
17,17,17,0,raw,0.825338,0.825338,0,0.789103,0.35,0,0,1,1,0,0,91.257,5,0,1,267.246,748.3448,267.246,748.3448,35.488,BOX:0:2:4:6,BOX:0:2:4:6,1,1,1.0,1
